Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159
,,,,Mobile apps,Native desktop apps,,Web services / APIs,,.NET Framework 3.5 or earlier,.NET Framework 4.0 – 4.7.2,,,,,,,,,,,,ASP.NET MVC,,,,,,,,Windows Forms (WinForms),,,Windows Communication Foundation (WCF),,,,,,,None,,,Visual Studio,,,,,GitHub,,C#,,,,,,,,,,,,C#,,,,JavaScript,,,Python,,,,,,,,,,,,,,Rust,,,,,Microsoft Azure,,,,,,"gRPC, Microsoft.Net.Http, Moq, Newtonsoft.Json, SSH.Net, ",Somewhat familiar,Approve,Apache Foundation,,Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,Conferences and training on .NET,?,Strongly approve,Agree,Agree,2,1,5,4,6,3,,,Consumer (downloads and uses),,,No,No,No,Yes,?,Yes,?,Male,,North America,,Prefer not to say,51-200,10-Feb,15 to 19 years,,,,,,"Developer, backend",,"Developer, enterprise","Developer, frontend",,,,,,,,,,"Executive (CXO, VP, etc.)",,
Console apps,,Libraries,Microservices,Mobile apps,Native desktop apps,Web apps,Web services / APIs,,,,,,,,,.NET Core 3.1 LTS,.NET 5,,UWP,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,,,,,,Windows Presentation Foundation (WPF),Universal Windows Platform (UWP),,,,,,,,,Not writing single-page apps,,Visual Studio,Visual Studio Code,,,,GitHub,,C#,,F#,,JavaScript,,,Python,,,,,C#,,F#,,JavaScript,,C++,Python,,,,,,,,,,,,,Go,Rust,,,Amazon Web Services,,Microsoft Azure,,,,,,,Very familiar,Neither approve nor disapprove,Apache Foundation,,,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Strongly approve,Agree,Strongly agree,2,1,3,4,6,5,,,Consumer (downloads and uses),,,Don't Know,No,Don't Know,Yes,,Yes,,Male,,North America,,"Between $50,000 and $74,999",51-200,10-Feb,15 to 19 years,,,,Database adminstrator,,"Developer, backend","Developer, devices","Developer, enterprise","Developer, frontend","Developer, fullstack",,"Developer, mobile","Developer, DevOps",,,Researcher,,,,,
,,,,,Native desktop apps,Web apps,Web services / APIs,,,,,,.NET Core 2.1 LTS,,,.NET Core 3.1 LTS,,,,,Entity Framework,,ASP.NET Web API,,,,,,,,,,,,,Angular,,,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,,,,,,,,,Delphi Object Pascal,,,,,,,,,Go,,,Elixir,,,Microsoft Azure,,,,,,"Newtonsoft.JSON, Serilog",Not so familiar,Neither approve nor disapprove,Apache Foundation,,Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,It does this survey and publishes the results,,Approve,Agree,Agree,4,2,5,1,6,3,,,Consumer (downloads and uses),,,Don't Know,No,Don't Know,Yes,,Yes,,Male,,Australia/Oceania,,"Between $100,000 and $150,000",201-500,Nov-50,5 to 9 years,,,,,,,,,,"Developer, fullstack",,,,,,,,,,,
Console apps,,,,,Native desktop apps,,,,.NET Framework 3.5 or earlier,,,,,,,,,,,,,,,,,,,,,Windows Forms (WinForms),,,,,,,,,,,Not writing single-page apps,,Visual Studio,,,.NET Command Line Interface (CLI),,,,C#,,,,,,C++,,,,,C,C#,,,,,,C++,,,,,C,C#,,,TypeScript,,,C++,Python,,Rust,,,,,Microsoft Azure,,,,,,,Not so familiar,Approve,Apache Foundation,,,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,Workshops and resources.,Provide trainings,Strongly approve,Strongly agree,Strongly agree,5,2,1,6,3,4,,"Contributor (contributes code, logs issues, etc.)",,,,No,No,Don't Know,Yes,,Yes,,Male,,North America,,Prefer not to say,"10,000+",10-Feb,20 years or more,,,,,,,,,,,,,,,,,,,,,Debug engineer
,,,,Mobile apps,Native desktop apps,Web apps,Web services / APIs,,.NET Framework 3.5 or earlier,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,,,,,,,,,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,ASP.NET WebForms,,Xamarin,,Windows Forms (WinForms),,,Windows Communication Foundation (WCF),,,Angular,,React,,,,,Visual Studio,,,,,,,C#,,,,,,,,,,,,C#,,,,,,,,,,,,,,,,,,,Python,,,,,Amazon Web Services,,Microsoft Azure,,,,,,Microsoft.AspNet.Mvc ,Somewhat familiar,Strongly approve,,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,Very Helpful,More Community Events,Strongly approve,Strongly agree,Strongly agree,4,3,6,1,5,2,,,Consumer (downloads and uses),,,No,Yes,No,Don't know,,Don't Know,,Male,,Asia,,"Under $15,000","501-1,000",100+,Less than 6 months,,,,Database adminstrator,,,,,,,,,,,,,,,,Systems admin,
Console apps,,Libraries,Microservices,Mobile apps,Native desktop apps,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,.NET Core 2.1 LTS,,,.NET Core 3.1 LTS,.NET 5,Mono / Xamarin,UWP,,Entity Framework,ASP.NET MVC,ASP.NET Web API,ASP.NET Blazor,,ASP.NET WebForms,ASP.NET Razor Pages,Xamarin,,Windows Forms (WinForms),Windows Presentation Foundation (WPF),Universal Windows Platform (UWP),Windows Communication Foundation (WCF),,,Angular,Blazor,React,Vue,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,C#,VB.NET,,TypeScript,JavaScript,Java,C++,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,F#,TypeScript,JavaScript,,,Python,Go,,,,Amazon Web Services,,Microsoft Azure,,,,,,Newtonsoft.Json  Microsoft.EntityFrameworCore,Somewhat familiar,Approve,Apache Foundation,,,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Approve,Agree,Agree,2,1,6,5,4,3,,,Consumer (downloads and uses),,,No,Yes,Yes,Yes,,Yes,,Male,,Australia/Oceania,,Prefer not to say,201-500,Nov-50,15 to 19 years,,,,,,"Developer, backend",,"Developer, enterprise","Developer, frontend","Developer, fullstack",,,"Developer, DevOps",,,,,,,,
Console apps,,Libraries,Microservices,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,,.NET Core 3.0,,,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,,ASP.NET WebForms,,,,Windows Forms (WinForms),,,,,,,,,,,Not writing single-page apps,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,C#,VB.NET,,,JavaScript,,,,,,,,C#,VB.NET,,,JavaScript,,,,,,,,,,,TypeScript,,,,,,,Dart,,Amazon Web Services,,Microsoft Azure,,,,,,,Very familiar,Strongly approve,,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,How open the tech has become in the last few years,,Approve,Agree,Agree,1,2,6,5,3,4,,,Consumer (downloads and uses),,,No,Yes,Yes,Yes,,Yes,,Male,,Other (please specify),Central America,"Under $15,000",Nov-50,10-Feb,10 to 14 years,,,,,,"Developer, backend",,"Developer, enterprise",,,,,"Developer, DevOps",,,,,,,,
Console apps,,Libraries,,,,,,,,.NET Framework 4.0 – 4.7.2,,,.NET Core 2.1 LTS,,,.NET Core 3.1 LTS,.NET 5,,,,,,,,,,,,,,,,,,,,,,,,Not writing single-page apps,,,,,,JetBrains Rider,,,C#,,,,,,,,,,,,C#,,,,JavaScript,,,Python,,,,,,,,,,,,,Go,Rust,,,,,,,,,None,,,Extremely familiar,Neither approve nor disapprove,Apache Foundation,,Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Below expectations,Below expectations,The idea of bringing people closer together,To be independent,Strongly disapprove,Disagree,Strongly agree,6,1,5,3,2,4,Maintainer (leads an open source project),"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),Sponsor (financial support),,Yes,Yes,Yes,Yes,,Don't Know,,Prefer not to say,,Europe,,Prefer not to say,"1,001-5000",51-100,10 to 14 years,,,,,,"Developer, backend",,,,,,,"Developer, DevOps",,,Researcher,,,,,
Console apps,,Libraries,,,,,Web services / APIs,,,,.NET Framework 4.8,,,,,.NET Core 3.1 LTS,.NET 5,,,,Entity Framework,,ASP.NET Web API,,,,,,ML.NET,,,,,,,Angular,,,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,,,,,,,,,Go,Rust,Dart,,Amazon Web Services,,Microsoft Azure,,,,,,,Somewhat familiar,Approve,Apache Foundation,,,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,Community representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,Libraries,Microservices,,Native desktop apps,,Web services / APIs,,.NET Framework 3.5 or earlier,.NET Framework 4.0 – 4.7.2,,,,,.NET Core 3.0,,.NET 5,,,,Entity Framework,,ASP.NET Web API,,,,,,,Windows Forms (WinForms),Windows Presentation Foundation (WPF),,Windows Communication Foundation (WCF),,,,,,,,Not writing single-page apps,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),JetBrains Rider,,,C#,VB.NET,,,,,,,,,,,C#,VB.NET,,,,,,,,,,,,,F#,,,,,Python,,Rust,,,,,Microsoft Azure,,,,,,newtonsoft json  ,Somewhat familiar,Strongly approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,.NET Foundation,,,Exceeded expectations,Met expectations,That it is an advocate for .NET in general and promotes it across many platforms.,,Strongly approve,Agree,Agree,1,3,4,5,6,2,,,Consumer (downloads and uses),,,No,No,Don't Know,Yes,,Yes,,Male,,North America,,"Between $100,000 and $150,000","501-1,000",Nov-50,20 years or more,Business analyst,Data analyst,,,Designer,"Developer, backend",,"Developer, enterprise","Developer, frontend",,,,"Developer, DevOps",,,,,,,,
Console apps,,Libraries,,,,Web apps,Web services / APIs,,.NET Framework 3.5 or earlier,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,,.NET Core 3.0,,,,,,Entity Framework,ASP.NET MVC,,,,ASP.NET WebForms,,,,Windows Forms (WinForms),,,,,,,,React,,,,Typescript,Visual Studio,Visual Studio Code,,,,,,C#,VB.NET,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,,,,TypeScript,,,,Python,,,,,Amazon Web Services,,Microsoft Azure,,,,,,"SlowCheetah, log4net",Not so familiar,Neither approve nor disapprove,Apache Foundation,,,Linux Foundation,,,,,Met expectations,Met expectations,,,Approve,Agree,Agree,1,5,3,2,6,4,,,Consumer (downloads and uses),,,No,No,No,Don't know,,Don't Know,,Female,,Asia,,"Between $75,000 and $99,999","1,001-5000",10-Feb,10 to 14 years,,,,,,"Developer, backend",,,"Developer, frontend","Developer, fullstack",,,"Developer, DevOps",,,,,,,,
Console apps,,Libraries,Microservices,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,.NET Core 2.1 LTS,,,.NET Core 3.1 LTS,,,,,,ASP.NET MVC,ASP.NET Web API,,,ASP.NET WebForms,,,,,,,Windows Communication Foundation (WCF),,,,,React,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),JetBrains Rider,GitHub,,C#,,,,JavaScript,,,,,,,,C#,,,,JavaScript,,,,,,,,C#,,F#,,,,,,,,,,,,,,,,None,,"Newtonsoft.Json, System.Text.Json, Moq, xunit, Swashbuckle, Polly, log4net",Somewhat familiar,Approve,Apache Foundation,,,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Strongly approve,Strongly agree,Strongly agree,6,5,1,2,4,3,,"Contributor (contributes code, logs issues, etc.)",,,,No,No,Don't Know,Yes,,Yes,,Male,,North America,,"Between $75,000 and $99,999","1,001-5000",Nov-50,5 to 9 years,,,,,,"Developer, backend",,"Developer, enterprise","Developer, frontend","Developer, fullstack",,,"Developer, DevOps",,,,,,,,
,,,,,,Web apps,,,,,,,,,,,.NET 5,,,,Entity Framework,ASP.NET MVC,,,,,ASP.NET Razor Pages,,,,,,,,,,,,,None,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,C#,,,,JavaScript,,,,,,,,C#,,,,JavaScript,,,,,,,,,,F#,TypeScript,,,,,,,,,,,Microsoft Azure,,,,,,,Somewhat familiar,Approve,Apache Foundation,,Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Strongly approve,Strongly agree,Strongly agree,3,2,1,5,6,4,,,Consumer (downloads and uses),,,No,Yes,Yes,Yes,,Yes,,Male,,Asia,,"Between $15,000 and $29,999",51-200,10-Feb,5 to 9 years,,,,,,,,,,"Developer, fullstack",,,,,,,,,,,
Console apps,,,,Mobile apps,Native desktop apps,Web apps,,,,,.NET Framework 4.8,,,,,,.NET 5,Mono / Xamarin,UWP,,,,,ASP.NET Blazor,,,,Xamarin,ML.NET,Windows Forms (WinForms),Windows Presentation Foundation (WPF),Universal Windows Platform (UWP),,,,,,,,,Not writing single-page apps,,Visual Studio,Visual Studio Code,,,,,,C#,VB.NET,,,,,,Python,,,,,C#,VB.NET,,,JavaScript,,,Python,,,,,,,F#,TypeScript,,,,,,,,,,,,,,,None,,ML.Net  ,Somewhat familiar,Neither approve nor disapprove,Apache Foundation,,Eclipse Foundation,Linux Foundation,,,,,Met expectations,Met expectations,promotes .Net,bringing new people into .Net,Approve,Agree,Agree,4,1,6,5,3,2,,,Consumer (downloads and uses),,,No,No,Don't Know,Don't know,Don't know,Don't Know,,Prefer not to say,,North America,,"Between $75,000 and $99,999",201-500,Nov-50,5 to 9 years,,Data analyst,,,,,"Developer, devices","Developer, enterprise",,,,,,,,,,,,,
,,Libraries,,Mobile apps,,Web apps,,,.NET Framework 3.5 or earlier,,,.NET Core 2.0 or earlier,,,.NET Core 3.0,,,,,,,,ASP.NET Web API,,,,,,,,,,Windows Communication Foundation (WCF),,,,,,,None,,,Visual Studio,,,.NET Command Line Interface (CLI),,,,,VB.NET,,,JavaScript,,C++,,,,,,C#,VB.NET,,,JavaScript,,C++,,,,,,,VB.NET,,,,,,Python,,,,,Amazon Web Services,,Microsoft Azure,,,,,,Not Disclosed,Very familiar,Strongly approve,,,,Linux Foundation,,.NET Foundation,,,Exceeded expectations,Met expectations,Good and perfect in our enviroments.,Fine on doing it getting up the logs and events.,Approve,Agree,Agree,4,1,2,5,6,3,Maintainer (leads an open source project),"Contributor (contributes code, logs issues, etc.)",,,,No,No,No,Yes,NA,Yes,NA,Male,,Asia,,"Between $30,000 and $49,999","10,000+",100+,10 to 14 years,,,,Database adminstrator,,,,,,,,,"Developer, DevOps",,,,,,,Systems admin,
,,,,,,,,The world's most advanced educational software.,,,,,,,,,.NET 5,,,,,,,,,,,,,,Windows Presentation Foundation (WPF),Universal Windows Platform (UWP),,,,,,,,,Not writing single-page apps,,Visual Studio,,,,,GitHub,,C#,,,,,,,,,,,"I was VB ... you forced me to convert to C#.  VB was superior, but C# is obviously your future ... so I've adapted.",C#,VB.NET,,,,,,,,,,,C#,,,,,,,,,,,,,,Microsoft Azure,,,,,"I haven't started using the ""cloud"" yet, although I will in the near future.  I'm focusing on OFFLINE FIRST application development with the ""cloud"" used only for synchronizing data.","A control supplier once I've decided on which one I'll be using (Telerik, Infragistics, SyncFusion, and others).",Not so familiar,Strongly approve,Apache Foundation,,,,,.NET Foundation,,I'm thrilled that .NET has become cross platform.  GOOD JOB!  I use .NET5 now and will never  look back.,Exceeded expectations,Exceeded expectations,I love that you are FINALLY standardizing into a cross-platform version of .NET.  I refuse to ever code in anything less than .NET 5 going forward.  Please do the same for XAML and UX.,,Approve,Agree,Strongly agree,2,3,1,6,5,4,,,,,I'm always a bit leery of open source code.  Competition and $ is a better way to motivate quality and innovation. ON THE OTHER HAND ... I'm benefiting by using open source code and so I intend to repay the favor by sharing some of what I'm developing to help others in return.,No,No,No,Yes,"Sorry to be ignorant ... but isn't the entire .NET5 etc. open source??  If so, of course, I'm GREATLY benefiting from it.",Yes,,Other (please specify),Please eliminate that last two options.  I'm SICK OF STUPID PEOPLE PRETENDING THERE ARE MORE THAN TWO SEXES.  Good grief!!!  Can we PLEASE get some sanity in this sick world?,North America,,"Between $15,000 and $29,999",1,1,15 to 19 years,Business analyst,,,,Designer,"Developer, backend","Developer, devices","Developer, enterprise","Developer, frontend","Developer, fullstack",,"Developer, mobile",,Educator,,Researcher,Marketing or sales professional,Product manager,"Executive (CXO, VP, etc.)",,I'm starting a company that will be worth >= $1 billion in ten years.
Console apps,,,Microservices,,,Web apps,Web services / APIs,,,,,,,,,.NET Core 3.1 LTS,.NET 5,,,,Entity Framework,,ASP.NET Web API,,,,ASP.NET Razor Pages,,,,,,,,,,,React,,,,,Visual Studio,Visual Studio Code,,,,GitHub,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,Python,Go,,,,,,,,,,,,,Rust,,,Amazon Web Services,,Microsoft Azure,,,,,,AutoMapper  MediatR  FluentMigrator  AWS SDK libraries  ,Somewhat familiar,Neither approve nor disapprove,Apache Foundation,Cloud Native Computing Foundation (CNCF),Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,Seems to be a place to support communities that are using .Net,What does the foundation do to help the open source library authors who need it?,Strongly approve,Strongly agree,Strongly agree,5,1,6,4,2,3,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,No,Yes,Yes,Yes,,Yes,,Male,,North America,,"Between $100,000 and $150,000",51-200,10-Feb,10 to 14 years,,,,,,"Developer, backend",,"Developer, enterprise",,"Developer, fullstack",,,"Developer, DevOps",,Site engineer,,,,,,
Console apps,,Libraries,,,,,Web services / APIs,,,,.NET Framework 4.8,,,,,.NET Core 3.1 LTS,,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,ASP.NET WebForms,,,,Windows Forms (WinForms),Windows Presentation Foundation (WPF),Universal Windows Platform (UWP),Windows Communication Foundation (WCF),,,Angular,,React,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,C#,VB.NET,,TypeScript,JavaScript,,,,,,,Synergy DBL,C#,VB.NET,,TypeScript,,,,,,,,Synergy DBL,,,,TypeScript,JavaScript,,,Python,,,,,,,Microsoft Azure,,,,,,Seriously? WAY too many to type the names!,Somewhat familiar,Approve,Apache Foundation,,,,,.NET Foundation,,,Met expectations,Met expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,,,,Native desktop apps,,,,.NET Framework 3.5 or earlier,.NET Framework 4.0 – 4.7.2,,,,,,,,,,,,,,,,,,,,Windows Forms (WinForms),Windows Presentation Foundation (WPF),,,,,,,,,,Not writing single-page apps,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,,,C#,VB.NET,,,,,,,,,,,C#,VB.NET,,TypeScript,,,,,,,,,,,F#,TypeScript,,,,Python,,,,,,,,,,,None,,None,Somewhat familiar,Neither approve nor disapprove,,,Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,More education and training,More education and training,Approve,Agree,Strongly agree,3,1,2,6,5,4,,,Consumer (downloads and uses),,,No,Yes,No,Yes,,No,Proprietary softwaare    ,Male,,North America,,"Between $75,000 and $99,999",10-Feb,10-Feb,20 years or more,,,,,,,"Developer, devices",,,"Developer, fullstack","Developer, games",,,,,,,,,,
Console apps,Games,,,,,,,,,,.NET Framework 4.8,,,,,,,,,,Entity Framework,,,,,,,,,,,,,Unity,,,,,,None,,,Visual Studio,Visual Studio Code,,,,GitHub,,C#,,,,,,,Python,,,,,C#,,,,JavaScript,,C++,Python,,,,,C#,,,,,,,,,,,,Amazon Web Services,,Microsoft Azure,,,,,,,Not at all familiar,Neither approve nor disapprove,Apache Foundation,,Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,Libraries,Microservices,Mobile apps,Native desktop apps,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,.NET Core 2.1 LTS,,,.NET Core 3.1 LTS,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,,,,,ML.NET,,,,Windows Communication Foundation (WCF),Unity,,Angular,,React,,,,,Visual Studio,Visual Studio Code,Visual Studio for Mac,.NET Command Line Interface (CLI),,GitHub,,C#,,,TypeScript,JavaScript,,C++,Python,Go,,,Scala,C#,,,TypeScript,JavaScript,,C++,Python,Go,,,Scala,,,,,,,,,,Rust,,,,,Microsoft Azure,,,,,,Very long list (large project),Somewhat familiar,Approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Strongly approve,Agree,Strongly agree,1,2,4,6,3,5,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,Don't Know,Yes,Yes,Yes,,Yes,,Male,,Other (please specify),Middle East ,"Over $150,000","10,000+",100+,10 to 14 years,,,,,,"Developer, backend",,,,"Developer, fullstack",,,"Developer, DevOps",,,,,,,,Developer in Architect role
,,Libraries,,Mobile apps,Native desktop apps,,,Embedded,,.NET Framework 4.0 – 4.7.2,,,,,,,,,,,,,,,,,,,,,Windows Presentation Foundation (WPF),,,,,,,,,,Not writing single-page apps,,Visual Studio,,,,,,Bitbucket,C#,,,,,,,,,,,,C#,,,,,,,,,,,C,,,,,JavaScript,,,Python,,,,,Amazon Web Services,,Microsoft Azure,,,,,,mvvmlight,Not so familiar,Neither approve nor disapprove,Apache Foundation,,Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Strongly approve,Agree,Agree,2,4,1,5,6,3,,,Consumer (downloads and uses),,,No,No,Don't Know,Yes,,Yes,,Male,,North America,,"Between $100,000 and $150,000",51-200,10-Feb,5 to 9 years,,,,,Designer,,"Developer, devices","Developer, enterprise",,"Developer, fullstack",,,,,,,,,,,
Console apps,,Libraries,,,Native desktop apps,Web apps,Web services / APIs,,,,.NET Framework 4.8,,,,,,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,,,,ML.NET,Windows Forms (WinForms),Windows Presentation Foundation (WPF),,,,,,Blazor,,,,,,Visual Studio,Visual Studio Code,,,,,,C#,,,TypeScript,,,C++,,,,,,C#,,,TypeScript,,,C++,,,,,,C#,,,TypeScript,,,C++,,,,,,,,Microsoft Azure,,,,,,Entity Framework  Entity Framework Core,Somewhat familiar,Strongly approve,,,,,,.NET Foundation,,,Exceeded expectations,Exceeded expectations,Specializing in .NET,Web seminars,Strongly approve,Strongly agree,Strongly agree,3,5,1,4,6,2,,"Contributor (contributes code, logs issues, etc.)",,,,No,No,Don't Know,Yes,,Yes,,Male,,Asia,,"Between $100,000 and $150,000","501-1,000",10-Feb,20 years or more,,,,,,,,,"Developer, frontend",,,,,,,,,,,,
,Games,,Microservices,Mobile apps,Native desktop apps,Web apps,,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,.NET Core 2.2,,,.NET 5,,,,Entity Framework,ASP.NET MVC,,ASP.NET Blazor,,,ASP.NET Razor Pages,Xamarin,,,,,,,,Angular,,React,Vue,,,,Visual Studio,Visual Studio Code,,,JetBrains Rider,GitHub,,,VB.NET,,TypeScript,JavaScript,Java,,Python,,,,,C#,VB.NET,,TypeScript,JavaScript,Java,C++,Python,,,,,,VB.NET,,TypeScript,JavaScript,Java,C++,Python,,,,,Amazon Web Services,,Microsoft Azure,Oracle Cloud,,IBM Cloud,,,"AwsSdk.core ,  Entity framework,  Microsoft.AspNet.Mvc,  Microsoft.EntityFramework.Core  ",Very familiar,Strongly approve,,Cloud Native Computing Foundation (CNCF),,Linux Foundation,OpenJS Foundation,.NET Foundation,,,Met expectations,Met expectations,open source,support,Strongly approve,Agree,Agree,4,3,6,5,2,1,Maintainer (leads an open source project),"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,Yes,Yes,Yes,Yes,,Yes,,Female,,Asia,,"Between $30,000 and $49,999","10,000+",100+,10 to 14 years,Business analyst,,Data scientist,Database adminstrator,Designer,,,"Developer, enterprise","Developer, frontend","Developer, fullstack",,"Developer, mobile","Developer, DevOps",,,,,Product manager,"Executive (CXO, VP, etc.)",,
Console apps,,Libraries,Microservices,Mobile apps,,Web apps,Web services / APIs,,,,.NET Framework 4.8,,,.NET Core 2.2,,.NET Core 3.1 LTS,,Mono / Xamarin,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,,,,Xamarin,ML.NET,Windows Forms (WinForms),,,,,,,,,Vue,,,,Visual Studio,Visual Studio Code,,,,GitHub,,C#,,,,JavaScript,,,,,,,,C#,,,,JavaScript,,,,,,,,C#,,F#,,JavaScript,,,Python,,,,,Amazon Web Services,,Microsoft Azure,,,,,,Microsoft.AspNetCore.Mvc.NewtonsoftJso  Microsoft.AspNetCore.Authentication.JwtBearer,Very familiar,Strongly approve,,,,Linux Foundation,,.NET Foundation,,,Exceeded expectations,Exceeded expectations,open source and support and constantly improvement ,idk,Approve,Agree,Agree,,,,,,,,,Consumer (downloads and uses),,,No,No,Yes,Yes,,Yes,,Male,,North America,,"Between $100,000 and $150,000",201-500,1,20 years or more,Business analyst,,,Database adminstrator,,"Developer, backend",,"Developer, enterprise",,"Developer, fullstack",,,"Developer, DevOps",,,Researcher,,,,,
Console apps,,Libraries,Microservices,,Native desktop apps,Web apps,Web services / APIs,,,,,,,,,.NET Core 3.1 LTS,,,,,,,,,,,,,,,,,,,AWS Lambda,,,React,,,,,,Visual Studio Code,Visual Studio for Mac,,,,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,Python,,,,,,,,,,Java,,,Go,,,,Amazon Web Services,,Microsoft Azure,,,,,,,Not so familiar,Neither approve nor disapprove,,Cloud Native Computing Foundation (CNCF),,,,,,,Met expectations,Met expectations,,,Strongly approve,Agree,Agree,5,3,2,6,4,1,,,Consumer (downloads and uses),,,No,No,Don't Know,Yes,,Yes,,Prefer not to say,,North America,,"Between $100,000 and $150,000",201-500,Nov-50,5 to 9 years,,,,,,,,,,"Developer, fullstack",,,"Developer, DevOps",,,,,,,,
